,Original,Standardized
1454,Locally Advanced Papillary Renal Cell Carcinoma; Metastatic Papillary Renal Cell Carcinoma; Stage III Renal Cell Cancer AJCC v7; Stage IV Renal Cell Cancer AJCC v7; Type 1 Papillary Renal Cell Carcinoma; Type 2 Papillary Renal Cell Carcinoma; Unresectable Renal Cell Carcinoma,Locally Advanced Papillary Renal Cell Carcinoma; Metastatic Papillary Renal Cell Carcinoma; Stage III Renal Cell Cancer AJCC v7; Stage IV Renal Cell Cancer AJCC v7; Type 1 Papillary Renal Cell Carcinoma; Type 2 Papillary Renal Cell Carcinoma; Unresectable Renal Cell Carcinoma
1455,Juvenile Dermatomyositis,Juvenile Dermatomyositis
1456,Aneurysmal Subarachnoid Hemorrhage,Aneurysmal Subarachnoid Hemorrhage
1457,Cardiovascular Events; Type2 Diabetes; Renal Disease,Cardiovascular Events; Type2 Diabetes; Renal Disease
1458,Acute Myelogenous Leukemia; Myelodysplastic Syndrome; Juvenile Myelomonocytic Leukemia,Acute Myelogenous Leukemia; Myelodysplastic Syndrome; Juvenile Myelomonocytic Leukemia
1459,Stage IV Pancreatic Cancer,Stage IV Pancreatic Cancer
1460,Non-alcoholic Steatohepatitis,Non-alcoholic Steatohepatitis
1461,Ovarian Carcinoma; Fallopian Tube Carcinoma; Peritoneal Carcinoma,Ovarian and Related Carcinomas
1462,Chronic Myeloproliferative Disorders; Graft Versus Host Disease; Leukemia; Lymphoma; Multiple Myeloma and Plasma Cell Neoplasm; Myelodysplastic Syndromes; Myelodysplastic/Myeloproliferative Neoplasms,Hematologic Malignancies and Disorders
1463,GVHD,GVHD
1464,"Breast Cancer; Gynecologic Cancer; HNSCC; Solid Tumors, Adult","Breast Cancer; Gynecologic Cancer; HNSCC; Solid Tumors, Adult"
1465,Ovarian Cancer; Peritoneal Cavity Cancer,Ovarian and Peritoneal Cancer
1466,Hereditary Hemorrhagic Telangiectasia; Epistaxis,Hereditary Hemorrhagic Telangiectasia
1467,Cutaneous T-Cell Lymphoma,Cutaneous T-Cell Lymphoma
1468,Gallbladder Neoplasms,Gallbladder Neoplasms
1469,Ovarian Cancer; Fallopian Tube Cancer; Primary Peritoneal Carcinoma,Ovarian Cancer; Fallopian Tube Cancer; Primary Peritoneal Carcinoma
1470,Ovarian Cancer; Fallopian Tube Cancer; Peritoneal Neoplasms,Ovarian Cancer; Fallopian Tube Cancer; Peritoneal Neoplasms
1471,Acute Myelogenous Leukemia; Acute Lymphocytic Leukemia; Chronic Myelogenous Leukemia; Plasma Cell Leukemia; Myelodysplastic Syndromes; Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; B-Cell Lymphoma; Follicular Lymphoma; Lymphoplasmacytic Lymphoma; Mantle-Cell Lymphoma; Prolymphocytic Leukemia; Lymphoblastic Lymphoma; Burkitt's Lymphoma; Non-Hodgkin's Lymphoma; Multiple Myeloma; Myeloproliferative Syndromes; Hematological Diseases,Acute Myelogenous Leukemia; Acute Lymphocytic Leukemia; Chronic Myelogenous Leukemia; Plasma Cell Leukemia; Myelodysplastic Syndromes; Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; B-Cell Lymphoma; Follicular Lymphoma; Lymphoplasmacytic Lymphoma; Mantle-Cell Lymphoma; Prolymphocytic Leukemia; Lymphoblastic Lymphoma; Burkitt's Lymphoma; Non-Hodgkin's Lymphoma; Multiple Myeloma; Myeloproliferative Syndromes; Hematological Diseases
1472,"Ovarian Cancer, Epithelial; Gastric Cancer; GastroEsophageal Junction (GEJ) Cancer; Head and Neck Squamous Cell Carcinoma; Metastatic or Unresectable Melanoma; Non-small Cell Lung Cancer (NSCLC); Metastatic Castration-resistant Prostate Cancer (mCRPC); Malignant Pleural Mesothelioma (MPM); Triple Negative Breast Cancer (TNBC); Metastatic Urothelial Carcinoma; Cervical Cancer; Diffuse Large B Cell Lymphoma (DLBCL); Richter Transformation; Microsatellite Stable Colorectal Carcinoma",Advanced Solid Tumors and Hematologic Malignancies
1473,TNBC - Triple-Negative Breast Cancer,TNBC - Triple-Negative Breast Cancer
1474,Otomycosis,Otomycosis
1475,Ganglioneuroblastoma; Neuroblastoma,Ganglioneuroblastoma; Neuroblastoma
1476,Cardiac Allograft Vasculopathy,Cardiac Allograft Vasculopathy
1477,Acute Myelogenous Leukemia; Myelodysplastic Syndrome; Leukemia,Acute Myelogenous Leukemia; Myelodysplastic Syndrome; Leukemia
1478,Thalassemia,Thalassemia
1479,Acute Myelogenous Leukemia; Myelogenous Leukemia; Treatment Naive AML,Acute Myelogenous Leukemia; Myelogenous Leukemia; Treatment Naive AML
1480,"Lymphoblastic Leukemia, Acute","Lymphoblastic Leukemia, Acute"
1481,"Pain, Chronic",Chronic Pain
1482,Non-Hodgkin's Lymphoma; Mantle Cell Lymphoma,Non-Hodgkin's Lymphoma
1483,Acute Heart Failure,Acute Heart Failure
1484,Non-Muscle Invasive Bladder Cancer,Non-Muscle Invasive Bladder Cancer
1485,"Carcinoma, Squamous Cell",Squamous Cell Carcinoma
1486,Non-Resectable Pancreas Carcinoma,Non-Resectable Pancreas Carcinoma
1487,PTCL,Peripheral T-cell Lymphoma
1488,Lower Urinary Tract Symptoms,Lower Urinary Tract Symptoms
1489,"PIK3CA Mutation; Solid Tumor, Adult; HER2-negative Breast Cancer; Breast Cancer; Metastatic Breast Cancer; Advanced Breast Cancer; Unresectable Solid Tumor; Hormone Receptor Positive Tumor",PIK3CA-Mutated Breast Cancer
1490,Hepatitis C Virus,Hepatitis C Virus
1491,Glioblastoma; Gliosarcoma; Anaplastic Astrocytoma,Malignant Glioma
1492,"Lymphoblastic Lymphoma, Childhood",Childhood Lymphoblastic Lymphoma
1493,"Non-Small Cell Lung Cancer; Carcinoma, Squamous Cell; Adenocarcinoma","Non-Small Cell Lung Cancer; Carcinoma, Squamous Cell; Adenocarcinoma"
1494,Acute Myeloid Leukaemia; Myelodysplastic Syndrome,Acute Myeloid Leukaemia; Myelodysplastic Syndrome
1495,PCNSL,Primary Central Nervous System Lymphoma
1496,Stage IV Gastric Cancer With Metastasis,Stage IV Gastric Cancer With Metastasis
1497,Lumbosacral Radiculopathy,Lumbosacral Radiculopathy
1498,Oxidative Stress,Oxidative Stress
1499,Stage IV Lung Cancer,Stage IV Lung Cancer
1500,Gastric Acid; Human Experimentation,Gastric Acid Studies
1501,T-cell Non-Hodgkin Lymphoma,T-cell Non-Hodgkin Lymphoma
1502,Extensive-stage Small-cell Lung Cancer,Extensive-stage Small-cell Lung Cancer
1503,Opioid Use Disorder,Opioid Use Disorder
1504,OCD,Obsessive-Compulsive Disorder
1505,Lung Cancer; NSCLC,Lung Cancer
1506,Oral Cancer,Oral Cancer
1507,Cough Variant Asthma,Cough Variant Asthma
1508,COPD (Chronic Obstructive Pulmonary Disease),COPD (Chronic Obstructive Pulmonary Disease)
1509,Acute Low Back Pain,Acute Low Back Pain
1510,Crohn Disease (CD),Inflammatory Bowel Disease (IBD)
1511,Symptomatic Irreversible Pulpitis,Symptomatic Irreversible Pulpitis
1512,Blau Syndrome,Blau Syndrome
1513,Gastrointestinal Stromal Tumor (GIST),Gastrointestinal Stromal Tumor (GIST)
1514,Gastric Adenocarcinoma; Gastroesophageal Junction Adenocarcinoma,Gastric and Gastroesophageal Junction Adenocarcinoma
1515,Antiphospholipid Syndrome,Antiphospholipid Syndrome
1516,Gastro-Oesophageal Cancer,Gastric Cancer
1517,Gastro-oesophageal Reflux Disease,Gastro-oesophageal Reflux Disease
1518,Hepatopulmonary Syndrome,Hepatopulmonary Syndrome
1519,Gastroduodenal Ulcer; Marginal Ulcer; Peptic Ulcer Hemorrhage,Peptic Ulcer Disease
1520,Obesity; Metabolic Syndrome,Obesity and Metabolic Syndrome
1521,Cardiac Transplantation,Cardiac Transplantation
1522,"Acute Lymphoblastic Leukemia, in Relapse; Lymphoblastic Lymphoma (Precursor B-Lymphoblastic Lymphoma/Leukaemia) Recurrent; Lymphoblastic Lymphoma (Precursor T-Lymphoblastic Lymphoma/Leukaemia) Recurrent; Lymphoblastic Lymphoma (Precursor B-Lymphoblastic Lymphoma/Leukaemia) Refractory; Lymphoblastic Lymphoma (Precursor T-Lymphoblastic Lymphoma/Leukaemia) Refractory",Acute Lymphoblastic Leukemia and Lymphoblastic Lymphoma
1523,Obstructive Sleep Apnea of Adult,Obstructive Sleep Apnea of Adult
1524,"Acute Lymphoblastic Leukemia; Childhood Leukemia, Acute Lymphoblastic; T Cell Acute Lymphoblastic Leukemia/Lymphoblastic Lymphoma","Acute Lymphoblastic Leukemia; Childhood Leukemia, Acute Lymphoblastic; T Cell Acute Lymphoblastic Leukemia/Lymphoblastic Lymphoma"
1525,Anterior Cruciate Ligament Injuries,Anterior Cruciate Ligament Injuries
1526,Lung Cancer; Metastatic Cancer,Metastatic Lung Cancer
1527,Oral Squamous Cell Carcinoma,Oral Squamous Cell Carcinoma
1528,Gestational Weight Gain; Overweight and Obesity; Pregnancy; Energy Balance,Pregnancy-related Weight Issues
1529,Osteogenesis Imperfecta,Osteogenesis Imperfecta
1530,Acute Leukemia of Ambiguous Lineage,Acute Leukemia of Ambiguous Lineage
1531,Acute Mountain Sickness,Acute Mountain Sickness
1532,Non-small-cell Lung Carcinoma,Non-small-cell Lung Carcinoma
1533,"Osteoarthritis; Arthritis, Rheumatoid",Arthritis
1534,T-cell Lymphoblastic Lymphoma,Precursor Cell Lymphoblastic Leukemia-Lymphoma
1535,Stomach Ulcer,Stomach Ulcer
1536,Acute Leukemia of Ambiguous Lineage; B Acute Lymphoblastic Leukemia; Mixed Phenotype Acute Leukemia,Acute Leukemia of Ambiguous Lineage
1537,Stress,Stress
1538,Germ Cell Tumor,Germ Cell Tumor
1539,"Stress Disorders, Post-Traumatic",Post Traumatic Stress Disorder
1540,T Lymphoblastic Lymphoma,T Lymphoblastic Lymphoma
1541,Normal Healthy Volunteers,Normal Healthy Volunteers
1542,T Acute Lymphoblastic Leukemia; T Lymphoblastic Lymphoma,T Acute Lymphoblastic Leukemia; T Lymphoblastic Lymphoma
1543,Correction of Cancer-related Coagulopathy With Novel Oral Anticoagulant (Edoxaban),Cancer-related Coagulopathy
1544,"Lung, Carcinoma",Lung Carcinoma
1545,Orbital Pseudotumor,Orbital Pseudotumor
1546,Oral Submucous Fibrosis,Oral Submucous Fibrosis
1547,"Carcinoma, Small Cell",Small Cell Carcinoma
1548,Acute Myeloid Leukemia (Relapsed/Refractory),Acute Myeloid Leukemia (Relapsed/Refractory)
1549,Frozen Shoulder,Frozen Shoulder
1550,"Neoplasm, Gastrointestinal",Gastrointestinal Neoplasm
1551,HER-2 Positive Breast Cancer,HER-2 Positive Breast Cancer
1552,Solid Tumor; Non-Small Cell Lung Cancer; Head and Neck Cancer; Melanoma; Gastric Cancer; Renal Cell Carcinoma; Urothelial Carcinoma,Solid Tumor; Non-Small Cell Lung Cancer; Head and Neck Cancer; Melanoma; Gastric Cancer; Renal Cell Carcinoma; Urothelial Carcinoma
1553,Neoadjuvant Therapy; High Risk Prostate Cancer; Locally Advanced Prostate Cancer; Intense Endocrine Therapy,Neoadjuvant Therapy; High Risk Prostate Cancer; Locally Advanced Prostate Cancer; Intense Endocrine Therapy
1554,Peri-implant Mucositis,Peri-implant Mucositis
1555,Peri-Implantitis,Peri-Implantitis
1556,Congenital Adrenal Hyperplasia,Congenital Adrenal Hyperplasia
1557,Peptic Ulcers,Peptic Ulcers
1558,"Lymphoma, T-Cell",T-Cell Lymphoma
1559,Locally Advanced Rectal Cancer (LARC),Locally Advanced Rectal Cancer
1560,Gynecologic Cancer,Gynecologic Cancer
1561,Caries,Dental Conditions
1562,Pelvic Pain,Pelvic Pain
1563,Pelvic Inflammatory Disease,Pelvic Inflammatory Disease
1564,"Arthroplasty, Replacement, Knee",Knee Replacement
1565,Dental Implant Failed,Dental Implant
1566,Neoplasms; Breast Neoplasms,Neoplasms; Breast Neoplasms
1567,"Toxoplasmosis, Cerebral; HIV Infections","Toxoplasmosis, Cerebral; HIV Infections"
1568,Fasting,Fasting
1569,Hypothyroidism,Hypothyroidism
1570,Neoplasms; Solid Tumors; Biliary Cancer; Salivary Cancer; Bladder Cancer,Solid Tumors
1571,Unresectable Hepatocellular Carcinoma,Unresectable Hepatocellular Carcinoma
1572,Periodontal Disease,Periodontal Disease
1573,Necrotizing Enterocolitis,Necrotizing Enterocolitis
1574,Ischemic Stroke; Transient Ischemic Attack,Ischemic Stroke
1575,Peritoneal Carcinosis,Peritoneal Carcinosis
1576,HER2-negative Breast Cancer,HER2-negative Breast Cancer
1577,Solid Tumor Malignancies,Solid Tumor Malignancies
1578,Peritoneal Carcinomatosis,Peritoneal Carcinomatosis
1579,Nail Psoriasis,Nail Psoriasis
1580,Solid Tumor Malignancy,Solid Tumor Malignancy
1581,"Extranodal NK/T-cell Lymphoma, Nasal Type",Extranodal NK/T-cell Lymphoma
1582,"HER2-expressing Gastrointestinal Cancers, Including Gastroesophageal Adenocarcinoma, Biliary Tract Cancer, and Colorectal Cancer",HER2-expressing Gastrointestinal Cancers
1583,Treatment,Treatment
1584,Dentin Sensitivity,Dentin Sensitivity
1585,Active Rheumatoid Arthritis,Active Rheumatoid Arthritis
1586,Peripheral Diabetic Neuropathy,Peripheral Diabetic Neuropathy
1587,Dentin Hypersensitivity,Dentin Hypersensitivity
1588,Nasopharyngeal Neoplasms,Nasopharyngeal Neoplasms
1589,Dental Plaque; Gingivitis,Dental Plaque and Gingivitis
1590,Castration-resistant Prostate Cancer; Oligoprogressive,Castration-resistant Prostate Cancer; Oligoprogressive
1591,Locally Advanced Pancreatic Adenocarcinoma; Chemotherapy Effect; Borderline Resectable Pancreatic Adenocarcinoma; Pancreatectomy,Locally Advanced Pancreatic Adenocarcinoma; Chemotherapy Effect; Borderline Resectable Pancreatic Adenocarcinoma; Pancreatectomy
1592,IBS - Irritable Bowel Syndrome,Irritable Bowel Syndrome
1593,Carcinoma Breast Stage IV,Carcinoma Breast Stage IV
1594,Neovascular Age-Related Macular Degeneration,Neovascular Age-Related Macular Degeneration
1595,High Risk Prostate Cancer,High Risk Prostate Cancer
1596,Fatty Liver Disease,Fatty Liver Disease
1597,Pancreatic Ductal Adenocarcinoma; Resectable Pancreatic Ductal Adenocarcinoma; Borderline Resectable Pancreatic Ductal Adenocarcinoma; Locally Advanced Pancreatic Ductal Adenocarcinoma,Pancreatic Ductal Adenocarcinoma; Resectable Pancreatic Ductal Adenocarcinoma; Borderline Resectable Pancreatic Ductal Adenocarcinoma; Locally Advanced Pancreatic Ductal Adenocarcinoma
1598,Pancreatic Cancer; Unresectable Pancreatic Cancer; Metastatic Pancreatic Cancer; KRAS P.G12C,Pancreatic Cancer; Unresectable Pancreatic Cancer; Metastatic Pancreatic Cancer; KRAS P.G12C
1599,"Carcinoma, Non-Small-Cell Lung; Synchronous Neoplasms","Carcinoma, Non-Small-Cell Lung; Synchronous Neoplasms"
1600,Breast Cancer; Heart Failure,Breast Cancer with Heart Failure
1601,Non Hodgkin's Lymphoma,Non Hodgkin's Lymphoma
1602,Focal Epilepsy,Focal Epilepsy
1603,Breast Inflammatory Carcinoma; Locally Advanced Breast Carcinoma; Metastatic Breast Carcinoma; Stage III Breast Cancer AJCC v7; Stage IIIA Breast Cancer AJCC v7; Stage IIIB Breast Cancer AJCC v7; Stage IIIC Breast Cancer AJCC v7; Stage IV Breast Cancer AJCC v6 and v7,Breast Inflammatory Carcinoma; Locally Advanced Breast Carcinoma; Metastatic Breast Carcinoma; Stage III Breast Cancer AJCC v7; Stage IIIA Breast Cancer AJCC v7; Stage IIIB Breast Cancer AJCC v7; Stage IIIC Breast Cancer AJCC v7; Stage IV Breast Cancer AJCC v6 and v7
1604,Androgen Deprivation Therapy; Prostate Cancer; Hypertension; Autonomic Dysfunction; Renal Disease,Androgen Deprivation Therapy in Prostate Cancer
1605,Deep Vein Thrombosis,Deep Vein Thrombosis
1606,Chronic Liver Disease,Hepatic Impairment
1607,Stable Angina,Stable Angina
1608,Decompensated Liver Cirrhosis,Decompensated Liver Cirrhosis
1609,Thyroid Neoplasms,Thyroid Cancer
1610,Stage I Kidney Wilms Tumor; Stage II Kidney Wilms Tumor; Stage III Kidney Wilms Tumor; Stage IV Kidney Wilms Tumor,Kidney Neoplasms
1611,Stage I Prostate Adenocarcinoma AJCC v7; Stage II Prostate Adenocarcinoma AJCC v7; Stage III Prostate Adenocarcinoma AJCC v7,Stage I Prostate Adenocarcinoma AJCC v7; Stage II Prostate Adenocarcinoma AJCC v7; Stage III Prostate Adenocarcinoma AJCC v7
1612,Heterotopic Ossification,Heterotopic Ossification
1613,Chronic Myeloproliferative Disorders; Leukemia; Myelodysplastic Syndromes; Thrombocytopenia,Hematologic Disorders
1614,Non Small-cell Lung Cancer,Non Small-cell Lung Cancer
1615,Glomerulonephritis; Immunoglobulin A Nephropathy,Glomerulonephritis
1616,"Glomerulonephritis, Membranous",Membranous Glomerulonephritis
1617,Locally Recurrent Rectal Cancer,Locally Recurrent Rectal Cancer
1618,Spontaneous Bacterial Peritonitis,Spontaneous Bacterial Peritonitis
1619,Nephrolithiasis,Nephrolithiasis
1620,Tonsillectomy,Tonsillectomy
1621,Graves Ophthalmopathy,Graves Ophthalmopathy
1622,Solid Tumour,Solid Tumour
1623,Nephrotic Syndrome,Nephrotic Syndrome
1624,High Risk Myelodysplastic Syndrome; Recurrent Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia,Acute Myeloid Leukemia
1625,Tourette Syndrome,Tourette Syndrome
1626,Sore Throat,Sore Throat
1627,Bone Density,Bone Density
1628,Parosmia,Parosmia
1629,Locally Advanced or Metastatic NSCLC,Locally Advanced or Metastatic NSCLC
1630,Arthritis Rheumatoid,Arthritis Rheumatoid
1631,Delirium on Emergence,Delirium on Emergence
1632,Total Hip Arthroplasty,Total Hip Arthroplasty
1633,Parasitic Diseases,Parasitic Diseases
1634,Graft-Versus-Host Disease,Graft-Versus-Host Disease
1635,Delayed Graft Function,Delayed Graft Function
1636,Neuromuscular Diseases,Neuromuscular Diseases
1637,Hypertension; COVID,Hypertension with COVID
1638,Anatomic Stage II Breast Cancer AJCC v8; Anatomic Stage IIA Breast Cancer AJCC v8; Anatomic Stage IIB Breast Cancer AJCC v8; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IIIA Breast Cancer AJCC v8; Anatomic Stage IIIB Breast Cancer AJCC v8; Anatomic Stage IIIC Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Invasive Breast Carcinoma; Locally Advanced HER2-Positive Breast Carcinoma; Metastatic HER2-Positive Breast Carcinoma; Prognostic Stage IB Breast Cancer AJCC v8; Prognostic Stage II Breast Cancer AJCC v8; Prognostic Stage IIA Breast Cancer AJCC v8; Prognostic Stage IIB Breast Cancer AJCC v8; Prognostic Stage III Breast Cancer AJCC v8; Prognostic Stage IIIA Breast Cancer AJCC v8; Prognostic Stage IIIB Breast Cancer AJCC v8; Prognostic Stage IIIC Breast Cancer AJCC v8; Prognostic Stage IV Breast Cancer AJCC v8,Anatomic Stage II Breast Cancer AJCC v8; Anatomic Stage IIA Breast Cancer AJCC v8; Anatomic Stage IIB Breast Cancer AJCC v8; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IIIA Breast Cancer AJCC v8; Anatomic Stage IIIB Breast Cancer AJCC v8; Anatomic Stage IIIC Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Invasive Breast Carcinoma; Locally Advanced HER2-Positive Breast Carcinoma; Metastatic HER2-Positive Breast Carcinoma; Prognostic Stage IB Breast Cancer AJCC v8; Prognostic Stage II Breast Cancer AJCC v8; Prognostic Stage IIA Breast Cancer AJCC v8; Prognostic Stage IIB Breast Cancer AJCC v8; Prognostic Stage III Breast Cancer AJCC v8; Prognostic Stage IIIA Breast Cancer AJCC v8; Prognostic Stage IIIB Breast Cancer AJCC v8; Prognostic Stage IIIC Breast Cancer AJCC v8; Prognostic Stage IV Breast Cancer AJCC v8
1639,"Lymphoma, Lymphoblastic","Lymphoma, Lymphoblastic"
1640,Kidney Diseases,Kidney Diseases
1641,Muscle Injury,Muscle Injury
1642,Attention Deficit Hyperactivity Disorder (ADHD),Attention Deficit Hyperactivity Disorder (ADHD)
1643,Hematopoietic and Lymphatic System Neoplasm,Hematopoietic and Lymphatic System Neoplasm
1644,Metastatic Castration Resistant Prostate Cancer (mCRPC),Metastatic Castration-resistant Prostate Cancer
1645,Brain and Central Nervous System Tumors; Lymphoma; Neurotoxicity,Brain and Central Nervous System Conditions
1646,Metastatic Castration Sensitive Prostate Cancer,Metastatic Castration Sensitive Prostate Cancer
1647,Bruxism,Bruxism
1648,Advanced Malignant Solid Neoplasm; Clinical Stage III Cutaneous Melanoma AJCC V8; Clinical Stage IV Cutaneous Melanoma AJCC V8; Fallopian Tube Carcinoma; Metastatic Lung Non-Small Cell Carcinoma; Metastatic Malignant Solid Neoplasm; Metastatic Melanoma; Metastatic Renal Cell Carcinoma; Ovarian Carcinoma; Pathologic Stage III Cutaneous Melanoma AJCC V8; Pathologic Stage IIIA Cutaneous Melanoma AJCC V8; Pathologic Stage IIIB Cutaneous Melanoma AJCC V8; Pathologic Stage IIIC Cutaneous Melanoma AJCC V8; Pathologic Stage IIID Cutaneous Melanoma AJCC V8; Pathologic Stage IV Cutaneous Melanoma AJCC V8; Primary Peritoneal Carcinoma; Stage III Lung Cancer AJCC V8; Stage III Renal Cell Cancer AJCC V8; Stage IIIA Lung Cancer AJCC V8; Stage IIIB Lung Cancer AJCC V8; Stage IIIC Lung Cancer AJCC V8; Stage IV Lung Cancer AJCC V8; Stage IV Renal Cell Cancer AJCC V8; Stage IVA Lung Cancer AJCC V8; Stage IVB Lung Cancer AJCC V8; Triple-Negative Breast Carcinoma; Unresectable Lung Non-Small Cell Carcinoma; Unresectable Melanoma; Unresectable Renal Cell Carcinoma,Advanced Malignant Solid Neoplasm; Clinical Stage III Cutaneous Melanoma AJCC V8; Clinical Stage IV Cutaneous Melanoma AJCC V8; Fallopian Tube Carcinoma; Metastatic Lung Non-Small Cell Carcinoma; Metastatic Malignant Solid Neoplasm; Metastatic Melanoma; Metastatic Renal Cell Carcinoma; Ovarian Carcinoma; Pathologic Stage III Cutaneous Melanoma AJCC V8; Pathologic Stage IIIA Cutaneous Melanoma AJCC V8; Pathologic Stage IIIB Cutaneous Melanoma AJCC V8; Pathologic Stage IIIC Cutaneous Melanoma AJCC V8; Pathologic Stage IIID Cutaneous Melanoma AJCC V8; Pathologic Stage IV Cutaneous Melanoma AJCC V8; Primary Peritoneal Carcinoma; Stage III Lung Cancer AJCC V8; Stage III Renal Cell Cancer AJCC V8; Stage IIIA Lung Cancer AJCC V8; Stage IIIB Lung Cancer AJCC V8; Stage IIIC Lung Cancer AJCC V8; Stage IV Lung Cancer AJCC V8; Stage IV Renal Cell Cancer AJCC V8; Stage IVA Lung Cancer AJCC V8; Stage IVB Lung Cancer AJCC V8; Triple-Negative Breast Carcinoma; Unresectable Lung Non-Small Cell Carcinoma; Unresectable Melanoma; Unresectable Renal Cell Carcinoma
